timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
43314229,40.1540301384203,116.25936817696768,1.1110355,0.017206907,-0.0,0.0031209139,0.0015318893,0.0024011214,0.0029408655,0.37353963,0.45575014,0.0,2,0,0,0
43527986,40.15403020857929,116.25936824592516,1.1152147,0.020985484,-0.0,0.007510127,0.00531274,0.006488169,0.002851292,0.3735434,0.45594016,0.0,2,0,0,0
43726961,40.15403031175771,116.25936830895314,1.1166769,0.021988034,-0.0,0.02067409,0.0058969436,-0.0013451821,0.002311838,0.37120986,0.4559875,0.0,2,0,0,0
43940792,40.154030442557506,116.25936838026688,1.1187303,0.023534656,-0.0,0.02576134,0.0040245946,0.0042824117,0.0022687158,0.37114832,0.45604846,0.0,2,0,0,0
44139410,40.1540305436813,116.25936839188975,1.1147252,0.01907599,-0.0,0.036801122,0.003843749,-0.0050514545,0.0017834388,0.3693868,0.45556253,0.0,2,0,0,0
44338987,40.15403059774923,116.25936842867233,1.1136812,0.017645597,-0.0,0.031223314,0.007941964,0.0061834753,0.0016862173,0.36806285,0.4551855,0.0,2,0,0,0
44538349,40.15403057300018,116.25936843237592,1.113967,0.01754582,-0.0,0.026835866,0.0053031514,0.0041130353,0.0018248156,0.36706042,0.45490965,0.0,2,0,0,0
44748327,40.15403054185114,116.25936846639529,1.1104382,0.013710499,-0.0,0.024122465,0.010848874,-0.0017379369,0.001897581,0.36726755,0.45498133,0.0,2,0,0,0
44945710,40.15403046904835,116.25936851920758,1.1100343,0.013028145,-0.0,0.0175567,0.0142322555,-0.012736998,0.0013851778,0.36605623,0.4546231,0.0,2,0,0,0
45156040,40.154030378455666,116.25936851326284,1.1142387,0.016900182,-0.0,0.008558084,0.014090605,-0.006882286,0.0011798603,0.3662052,0.4546428,0.0,2,0,0,0
45355035,40.154030307772636,116.25936852281549,1.1200596,0.022514582,-0.0,0.0038416318,0.014015157,-0.010377632,0.0010212384,0.3734393,0.45563132,0.0,2,0,0,0
45553535,40.15403027009214,116.25936854915479,1.1230434,0.024988294,-0.0,0.0019065054,0.010997431,-0.02104685,0.0009490985,0.37186486,0.4551069,0.0,2,0,0,0
45766248,40.15403026034368,116.25936856551108,1.1275339,0.028903723,-0.0,0.004853661,0.0021692952,-0.015606514,0.00078728877,0.3721064,0.455639,0.0,2,0,0,0
45964580,40.154030302326355,116.25936848577115,1.1285125,0.029267788,-0.0,0.015320504,-0.011458319,-0.019561045,0.00066933245,0.37105575,0.45521998,0.0,2,0,0,0
46165053,40.154030362203585,116.2593683548153,1.1292024,0.029315233,-0.0,0.017584251,-0.019161379,-0.028464282,0.00072958507,0.36984605,0.45537254,0.0,2,0,0,0
46363387,40.15403041348158,116.25936822811181,1.1298255,0.029301763,-0.0,0.018709237,-0.0243057,-0.019128457,0.00039541526,0.36869678,0.45494553,0.0,2,0,0,0
46579169,40.154030449235506,116.25936814451958,1.1260735,0.024965286,-0.0,0.019772397,-0.031614102,-0.023771366,0.0004606672,0.36877647,0.45484507,0.0,2,0,0,0
46780304,40.154030432264726,116.25936817178912,1.1287148,0.027053118,-0.0,0.017392421,-0.027163018,-0.033667907,0.000526467,0.36762565,0.45503423,0.0,2,0,0,0
46975975,40.154030405561016,116.25936824545444,1.1306918,0.028422236,-0.0,0.019819204,-0.02245127,-0.028886562,-0.00010723459,0.3663213,0.4551694,0.0,2,0,0,0
47175438,40.15403038955007,116.2593683154559,1.1342707,0.0316844,-0.0,0.021105627,-0.020734152,-0.03433693,-1.7757706e-05,0.37303242,0.4553598,0.0,2,0,0,0
47390031,40.15403038776359,116.25936834104638,1.1338961,0.030634522,-0.0,0.023952916,-0.019028373,-0.026199998,-0.00022048758,0.3724348,0.45514902,0.0,2,0,0,0
47587820,40.154030443085205,116.2593683489576,1.1349994,0.031079888,-0.0,0.02852927,-0.017498663,-0.031951804,-0.00018242562,0.3707775,0.454082,0.0,2,0,0,0
47786397,40.15403052466742,116.2593683083134,1.1360205,0.031426907,-0.0,0.037958857,-0.021198247,-0.031224875,-0.00056778855,0.3694702,0.4537504,0.0,2,0,0,0
47986681,40.154030609045755,116.25936827216911,1.1327562,0.02752018,-0.0,0.043849476,-0.023512471,-0.018395089,-0.0010325591,0.3681486,0.4539885,0.0,2,0,0,0
48198554,40.154030685956066,116.2593682335231,1.1286669,0.022907019,-0.0,0.04163586,-0.025451457,-0.027604058,-0.0009593162,0.36802065,0.4534036,0.0,2,0,0,0
48397379,40.154030684184804,116.25936821045627,1.1300697,0.023821473,-0.0,0.03495656,-0.031884994,-0.023149595,-0.0012891714,0.3666223,0.45364726,0.0,2,0,0,0
48595414,40.15403065586916,116.25936817830025,1.1356778,0.02884221,-0.0,0.028065939,-0.03439841,-0.025084984,-0.0010136119,0.3653603,0.4539137,0.0,2,0,0,0
48806371,40.15403061841066,116.25936809343852,1.1401927,0.03268063,-0.0,0.021402894,-0.03245575,-0.034285158,-0.0012306481,0.3651662,0.45390978,0.0,2,0,0,0
49003950,40.15403059310848,116.25936807504952,1.1458876,0.03759539,-0.0,0.019864514,-0.027410882,-0.04577293,-0.0013383563,0.36381993,0.45412147,0.0,2,0,0,0
49217499,40.154030542556065,116.25936808293069,1.1503701,0.041209698,-0.0,0.01176699,-0.02169792,-0.04999509,-0.0012221322,0.36345652,0.45348024,0.0,2,0,0,0
